DATA,PRECIPITACAO TOTAL,PRECIPITACAO MEDIA,PRESSAO ATMOSFERICA MEDIA,RADIACAO GLOBAL MEDIA,TEMPERATURA MINIMA,TEMPERATURA MAXIMA,TEMPERATURA MEDIA,PONTO DE ORVALHO MEDIA,UMIDADE RELATIVA DO AR MINIMA,UMIDADE RELATIVA DO AR MEDIA,VELOCIDADE DO VENTO MEDIA,QUANTIDADE FOCOS,OCORREU FOGO
2019-10-04,0.0,0.0,875.9499999999999,892.0374999999999,18.3,30.8,24.379166666666663,9.85,23.0,31.5,1.6416666666666664,0.0,False
2019-10-05,5.4,0.225,875.7833333333334,651.8791666666667,16.9,27.4,21.579166666666662,11.18,31.0,40.0,1.5625000000000002,6.0,True
2019-10-06,1.6,0.06956521739130435,876.1347826086956,491.395652173913,18.2,24.4,20.66521739130435,-3.5857142857142863,9.0,16.875,1.4173913043478261,0.0,False
2019-10-07,0.2,0.008333333333333333,876.2083333333331,535.1249999999999,17.8,27.4,21.854166666666668,11.433333333333332,8.0,38.2,1.2458333333333333,5.0,True
2019-10-08,0.0,0.0,875.3000000000001,1067.5791666666667,19.2,31.1,24.229166666666657,9.866666666666667,13.0,32.916666666666664,1.7041666666666666,1.0,True
2019-10-09,0.2,0.008333333333333333,875.8958333333334,1049.9666666666665,19.2,29.8,23.720833333333342,12.129999999999999,15.0,40.9,2.0583333333333336,0.0,False
2019-10-10,2.2,0.09166666666666667,875.6666666666666,1082.0833333333333,17.5,30.5,23.529166666666658,8.010000000000002,25.0,28.2,2.3583333333333334,1.0,True
2019-10-11,0.0,0.0,876.65,1152.5958333333333,19.5,30.3,24.19583333333333,8.77,19.0,30.4,2.5333333333333337,9.0,True
2019-10-12,0.2,0.008333333333333333,877.0749999999999,1074.2583333333334,17.9,30.3,24.191666666666666,6.9,13.0,27.545454545454547,2.504166666666667,0.0,False
2019-10-13,0.0,0.0,876.0708333333332,1157.0833333333333,19.3,30.7,24.166666666666668,4.609999999999999,13.0,22.3,2.1125000000000003,44.0,True
2019-10-14,0.0,0.0,876.1416666666668,1089.3958333333335,19.1,29.9,24.004166666666666,3.9500000000000006,15.0,21.2,2.1041666666666665,74.0,True
2019-10-15,0.0,0.0,876.5541666666667,1176.9375000000002,19.5,31.1,24.866666666666664,2.5000000000000004,10.0,18.181818181818183,1.716666666666667,110.0,True
2019-10-16,0.0,0.0,876.6833333333334,1057.0249999999999,18.9,31.6,24.945833333333336,6.51,21.0,23.5,2.1166666666666667,134.0,True
2019-10-17,0.0,0.0,877.0333333333333,993.2541666666665,18.7,30.1,24.308333333333334,11.14,20.0,35.8,1.7166666666666668,124.0,True
2019-10-18,0.0,0.0,877.0208333333334,930.9541666666665,17.7,30.1,24.095833333333335,8.99,25.0,29.5,1.3,126.0,True
2019-10-19,0.0,0.0,876.0791666666668,961.9791666666666,18.3,31.4,24.90416666666667,5.1899999999999995,7.0,19.636363636363637,1.1333333333333333,155.0,True
2019-10-20,0.0,0.0,874.4916666666664,612.65,18.1,29.2,24.079166666666666,11.25,9.0,34.72727272727273,1.6875,66.0,True
2019-10-21,14.0,0.6086956521739131,874.8739130434781,408.33913043478265,16.9,22.6,20.739130434782606,,,,2.0826086956521737,0.0,False
2019-10-22,2.2,0.09166666666666667,874.8666666666668,671.9458333333333,18.1,27.2,21.32083333333333,6.371428571428572,7.0,29.625,1.4291666666666665,0.0,False
2019-10-23,16.4,0.7130434782608696,875.3304347826088,431.41739130434786,17.8,24.9,19.713043478260868,7.5,7.0,25.333333333333332,0.6260869565217391,0.0,False
2019-10-24,6.200000000000001,0.25833333333333336,876.4958333333333,440.5125000000001,17.7,23.8,19.308333333333337,12.399999999999999,43.0,50.0,1.2583333333333333,0.0,False
2019-10-25,0.2,0.008333333333333333,876.6958333333333,732.4583333333331,17.7,26.2,21.075,11.614285714285716,10.0,39.5,1.6000000000000003,0.0,False
2019-10-26,0.0,0.0,877.2500000000001,671.1083333333332,17.4,26.6,20.829166666666666,10.633333333333333,22.0,41.0,1.6416666666666666,1.0,True
2019-10-27,0.2,0.008333333333333333,876.808333333333,762.7958333333335,19.9,28.6,23.566666666666666,10.92,24.0,37.8,1.8291666666666664,2.0,True
2019-10-28,0.2,0.008333333333333333,876.0999999999999,1005.4541666666668,18.1,30.1,23.166666666666668,12.309999999999999,29.0,40.7,1.5791666666666666,3.0,True
2019-10-29,1.4,0.0608695652173913,875.1478260869566,1201.173913043478,18.4,30.5,24.117391304347823,9.09,19.0,31.1,1.7826086956521738,6.0,True
2019-10-30,0.0,0.0,875.2625000000003,1221.4125000000001,17.5,30.4,24.04583333333333,10.31818181818182,21.0,34.36363636363637,1.7583333333333337,0.0,False
2019-10-31,0.0,0.0,876.0583333333334,1189.7541666666666,17.6,30.6,23.983333333333338,8.75,9.0,28.0,1.4750000000000003,1.0,True
